id	spol	lroj	starost	visina	teza
30	Z	1942	19	165.8	58.9
31	Z	1942	19	163.8	56.9
32	Z	1942	20	168	56.1
33	Z	1942	18	165	58.3
34	Z	1942	19	167.6	59.1
35	Z	1942	19	166.7	65.5
36	Z	1942	19	162.4	72.1
37	Z	1942	19	156.8	58.2
38	Z	1942	19	166.7	56.2
39	Z	1942	19	159.6	50
40	Z	1942	18	163.4	55.8
41	Z	1942	20	157.6	60
42	Z	1942	20	161.8	51.3
43	Z	1942	19	155.4	49.5
44	Z	1942	19	156.4	70.4
45	Z	1942	19	158.7	53.7
46	Z	1942	19	159.2	52.8
47	Z	1942	19	164.4	58.1
48	Z	1942	18	169.7	64.4
50	Z	1942	19	164.7	61.7
51	Z	1942	19	162.3	59.4
52	Z	1942	19	158.3	45.5
53	Z	1942	18	169	80
54	Z	1942	19	170.5	73.6
55	Z	1942	19	166.3	53.2
56	Z	1942	19	168.8	56
57	Z	1942	19	161.5	49.3
58	Z	1942	19	156.8	48
59	Z	1942	19	166.5	87.1
60	Z	1942	20	168.3	75.9
61	Z	1942	18	163.6	58.8
62	Z	1942	20	168.3	69.7
63	Z	1942	19	168.2	60.4
64	Z	1942	19	166.5	70.9
66	Z	1942	19	163.2	57.3
67	Z	1942	19	177.4	69.1
68	Z	1942	19	174.5	55.8
69	Z	1942	19	170.5	58.2
70	Z	1942	20	173.7	66.1
71	Z	1942	19	162.2	59.3
72	Z	1942	19	156.9	56.8
73	Z	1942	19	164.5	50.5
74	Z	1942	19	161.1	55.9
75	Z	1942	18	168	61.8
76	Z	1942	18	162.6	57.3
77	Z	1942	18	171	62.9
78	Z	1942	18	177.5	70.7
79	Z	1942	20	157.8	50.2
80	Z	1942	19	165	73.4
81	Z	1942	19	159.9	58.5
83	Z	1942	18	159.3	50.1
84	Z	1942	18	171.2	71.7
85	Z	1942	19	158.5	64.4
86	Z	1942	19	163.3	57.3
87	Z	1942	19	170.1	69.4
88	Z	1942	19	168.5	67.7
89	Z	1942	19	157.6	62.5
90	Z	1942	19	168.7	67.7
93	Z	1942	19	153.2	58
94	Z	1942	19	150.9	52.3
95	Z	1942	19	164	56.5
96	Z	1942	19	163.3	54.5
97	Z	1942	19	161.4	59
98	Z	1942	19	155.3	52
99	Z	1942	19	155.5	58.1
100	Z	1942	18	153.6	54.8
101	Z	1942	20	164.9	53.5
102	Z	1942	19	160.2	51.4
103	Z	1942	19	165.6	55.1
104	Z	1942	19	160	48
105	Z	1942	19	158.8	51.1
106	Z	1942	19	168.2	65
107	Z	1942	18	162	64.7
108	Z	1942	18	159	54
109	Z	1942	19	172.2	52.2
110	Z	1942	20	161.8	62.8
111	Z	1942	19	162.2	55.2
112	Z	1942	19	165	55
113	Z	1942	20	155.2	56.5
114	Z	1942	19	164.4	60
115	Z	1942	19	167.3	61
116	Z	1942	18	149	57
117	Z	1942	19	167.1	74
118	Z	1942	19	165.5	64.8
119	Z	1942	20	163.7	60.4
121	Z	1942	19	168.2	74.4
122	Z	1942	19	162.4	60.3
123	Z	1942	19	156.7	55.5
124	Z	1942	20	156.8	50.1
125	Z	1942	19	165.1	52.5
126	Z	1942	19	172	51.4
127	Z	1942	18	169.6	67.4
128	Z	1942	20	165.3	69
129	Z	1942	18	170.1	60
130	Z	1942	19	170.7	65.6
131	Z	1942	19	167.4	74.8
132	Z	1942	20	165.4	71.8
133	Z	1942	19	152.9	50.6
134	Z	1942	19	166.1	64.2
135	Z	1942	20	160.1	53.7
136	Z	1942	20	162.5	56.9
137	Z	1942	19	171.8	73.3
138	Z	1942	20	168.1	60.8
139	Z	1942	18	162.3	54.7
141	Z	1942	19	168	60.8
142	Z	1942	19	151.5	60
143	Z	1942	19	165.8	59.5
144	Z	1942	19	161	56.3
145	Z	1942	19	157	51
146	Z	1942	20	170.3	55.5
147	Z	1942	19	166.7	47.6
148	Z	1942	18	165.1	64.3
149	Z	1942	18	161	60.4
150	Z	1942	19	159.5	76.6
151	Z	1942	19	172.9	72.9
152	Z	1942	19	165.5	46.5
153	Z	1942	19	160.4	73.5
154	Z	1942	18	167	57.8
155	Z	1942	20	153	48
156	Z	1942	18	158.3	56.6
157	Z	1942	19	163.3	54.7
158	Z	1942	19	161.2	63
159	Z	1942	19	157.3	60.5
160	Z	1942	20	165	57.6
161	Z	1942	19	164.8	62.6
162	Z	1942	19	167.2	65.5
163	Z	1942	19	161	66.6
164	Z	1942	19	165.2	72
165	Z	1942	20	166.7	74.5
166	Z	1942	19	162.7	56.5
167	Z	1942	20	156.5	52.5
1	Z	1943	19	163.8	61.9
2	Z	1943	18	156.2	56.3
3	Z	1943	19	157.3	57.8
4	Z	1943	19	158.5	58.5
5	Z	1943	19	159.5	56.2
6	Z	1943	19	155.5	50.4
7	Z	1943	18	164.5	53.1
8	Z	1943	18	162.2	53.7
9	Z	1943	19	162.1	56.1
10	Z	1943	19	173.1	58.3
11	Z	1943	19	161	49.2
12	Z	1943	19	162.4	53.3
13	Z	1943	19	174.3	66.8
14	Z	1943	20	173.7	60
15	Z	1943	19	168.9	61.4
18	Z	1943	20	167.8	64
19	Z	1943	20	160.7	53
21	Z	1943	19	153.6	56.1
23	Z	1943	18	156.6	55.3
24	Z	1943	18	162	61.5
25	Z	1943	19	165.7	56.3
26	Z	1943	20	169.6	63
27	Z	1943	19	173.5	69.3
28	Z	1943	19	158.1	53.9
29	Z	1943	19	166.6	65.2
34	Z	1943	19	167.8	65.7
35	Z	1943	19	156.5	55.4
36	Z	1943	20	148.9	45.5
37	Z	1943	19	171.2	53.2
38	Z	1943	18	164	68
39	Z	1943	19	154.3	56.5
40	Z	1943	19	171.1	43.5
41	Z	1943	19	164.4	50.8
48	Z	1943	18	163.1	64.9
49	Z	1943	20	169.5	65.5
50	Z	1943	20	165.4	66
53	Z	1943	19	163.6	53
54	Z	1943	19	158.2	53.3
56	Z	1943	19	168	62.5
58	Z	1943	19	166.6	78.4
59	Z	1943	20	162.1	58
61	Z	1943	18	159.3	62.5
63	Z	1943	18	160.7	49
64	Z	1943	20	158.2	66.3
65	Z	1943	18	163.9	69
70	Z	1943	18	168.1	65.2
73	Z	1943	20	173.7	60
1	Z	1944	20	166.5	60.5
2	Z	1944	20	158.1	54.5
3	Z	1944	20	170.5	57.2
4	Z	1944	19	166.4	66.3
5	Z	1944	19	160.7	58.4
6	Z	1944	20	161	54.8
7	Z	1944	20	158.8	57.9
8	Z	1944	20	167	56.8
10	Z	1944	20	164.4	47.7
11	Z	1944	19	170.5	60
12	Z	1944	20	162.6	52.7
13	Z	1944	20	168.1	61.2
14	Z	1944	20	176.1	66.2
15	Z	1944	20	164.2	68.3
16	Z	1944	20	172	67.7
17	Z	1944	20	160.5	49.6
18	Z	1944	20	160.8	71
19	Z	1944	20	166.7	58.7
20	Z	1944	20	156.4	58.7
21	Z	1944	19	167.6	57.3
22	Z	1944	20	158.7	66.2
23	Z	1944	19	160.7	50
24	Z	1944	20	163.4	64.9
25	Z	1944	20	161.1	65.5
26	Z	1944	20	164.4	51.8
27	Z	1944	20	161.5	52.7
28	Z	1944	19	164.3	53.4
29	Z	1944	19	163.7	59.1
30	Z	1944	20	165.6	60.6
31	Z	1944	20	171.5	69.7
32	Z	1944	20	162.4	66.4
33	Z	1944	20	172.5	62.6
35	Z	1944	18	168.5	59
36	Z	1944	19	162.7	55
37	Z	1944	20	170.5	56.2
38	Z	1944	19	157.4	54.3
39	Z	1944	19	170.7	64.5
40	Z	1944	20	149.5	46.7
41	Z	1944	20	166.3	61.1
42	Z	1944	20	164.8	56.2
45	Z	1944	19	168	70
46	Z	1944	19	167.3	55.5
47	Z	1944	20	167.5	66.6
48	Z	1944	20	163.5	59
49	Z	1944	20	164.6	60.2
53	Z	1944	19	159	51
54	Z	1944	19	156.3	50
55	Z	1944	19	151.7	52.5
56	Z	1944	20	159.7	49
57	Z	1944	20	152.8	46.6
58	Z	1944	20	159.5	50.1
59	Z	1944	20	165.8	53.5
60	Z	1944	20	165.2	54.2
62	Z	1944	20	163	55
63	Z	1944	20	161.2	61.7
64	Z	1944	20	167.8	65.7
65	Z	1944	20	163.1	60.6
66	Z	1944	20	167.7	65.1
67	Z	1944	20	177	61.3
68	Z	1944	20	165.3	53
70	Z	1944	20	164	67.5
71	Z	1944	20	166	54.2
72	Z	1944	19	163.2	58.7
73	Z	1944	19	159.6	53
74	Z	1944	20	163.5	60.3
75	Z	1944	19	163	55.3
76	Z	1944	20	160.8	72.2
77	Z	1944	20	168.4	64.3
78	Z	1944	20	164.6	64.9
79	Z	1944	20	152.8	53.7
80	Z	1944	20	164	68.5
81	Z	1944	20	169.4	61
82	Z	1944	20	171	63.8
83	Z	1944	20	170.9	64.1
84	Z	1944	20	177.8	63.9
85	Z	1944	20	171.2	53.6
86	Z	1944	20	159	55
87	Z	1944	20	164.8	58.9
88	Z	1944	20	153.5	50.6
91	Z	1944	19	174.3	69.5
92	Z	1944	20	163.4	63.9
93	Z	1944	19	166	55
94	Z	1944	20	163.5	56.7
95	Z	1944	19	154.1	53.5
96	Z	1944	20	163.2	56.6
100	Z	1944	19	160	58.4
101	Z	1944	20	169.5	61.5
102	Z	1944	19	163.1	54.5
103	Z	1944	19	154	48.5
104	Z	1944	19	165.1	55
105	Z	1944	20	166.3	56.3
106	Z	1944	20	159.3	52.3
107	Z	1944	20	159.8	56.2
108	Z	1944	20	161.4	58.7
109	Z	1944	20	163.5	61.2
110	Z	1944	20	164	65
111	Z	1944	20	163.6	60
112	Z	1944	20	165.3	55.7
113	Z	1944	19	161	52
115	Z	1944	20	156.6	54.4
116	Z	1944	20	159.5	58.4
117	Z	1944	20	161.3	54
118	Z	1944	20	160	62
119	Z	1944	20	167.6	59.3
120	Z	1944	19	173.4	59
123	Z	1944	19	173.6	65
124	Z	1944	20	163	53.9
128	Z	1944	20	160.1	58.3
129	Z	1944	20	166	57.9
130	Z	1944	19	166.3	75
131	Z	1944	20	164.5	58.9
132	Z	1944	20	157.3	60.6
134	Z	1944	20	170.3	67.5
135	Z	1944	20	165.9	62.2
137	Z	1944	20	163	57.5
138	Z	1944	19	157.9	50
139	Z	1944	19	152.8	53.5
140	Z	1944	20	175.2	69.9
141	Z	1944	20	166	61.1
142	Z	1944	20	171.8	64.9
143	Z	1944	20	162	64.1
144	Z	1944	19	161.5	61
145	Z	1944	19	163.1	61
146	Z	1944	20	155.5	51.8
147	Z	1944	19	156.5	53.5
148	Z	1944	20	158.6	59.4
149	Z	1944	20	161.5	48.3
150	Z	1944	20	168	56.6
151	Z	1944	19	163	61.5
152	Z	1944	19	169.3	48.7
153	Z	1944	20	165.5	61.5
154	Z	1944	20	155.2	56.3
155	Z	1944	20	147.9	43.6
157	Z	1944	20	167	67.9
158	Z	1944	20	164.2	53.3
159	Z	1944	20	153.3	51.7
160	Z	1944	20	169.6	55.6
162	Z	1944	19	168	68.4
163	Z	1944	20	166.6	69.4
165	Z	1944	20	168	63.3
166	Z	1944	20	156.6	48.9
167	Z	1944	20	152.3	47.2
169	Z	1944	20	157.1	56.3
170	Z	1944	19	174.6	58
171	Z	1944	20	160	51.7
172	Z	1944	19	168.5	70.5
173	Z	1944	20	160.2	59
174	Z	1944	20	158.5	54.1
175	Z	1944	20	157.4	52.4
176	Z	1944	20	157.2	49.2
177	Z	1944	20	152.7	51.6
178	Z	1944	19	176.7	75.3
179	Z	1944	19	163.3	54
180	Z	1944	19	160.7	60
181	Z	1944	19	162	59.8
182	Z	1944	20	167.3	64.9
183	Z	1944	19	166.5	59.6
184	Z	1944	19	167.2	71.2
185	Z	1944	20	169	58
186	Z	1944	19	161.6	51.9
189	Z	1944	20	168.1	64.5
190	Z	1944	20	168	56.8
191	Z	1944	19	171.4	69
192	Z	1944	20	158.2	50.7
193	Z	1944	19	165.2	52.5
194	Z	1944	20	162.1	57.4
195	Z	1944	20	175.6	78.8
196	Z	1944	19	173.5	61
197	Z	1944	19	167.3	56.5
198	Z	1944	19	162.7	59.3
199	Z	1944	20	155	60.3
200	Z	1944	20	163.3	55.4
201	Z	1944	19	156.5	60.5
202	Z	1944	20	176.1	60.4
203	Z	1944	20	152.4	50
204	Z	1944	20	168.7	50.3
205	Z	1944	20	164.1	50
206	Z	1944	19	169.1	79.3
207	Z	1944	19	171.1	62.5
208	Z	1944	19	156.7	61
209	Z	1944	19	154.6	51.1
210	Z	1944	20	164	55
211	Z	1944	19	158.4	68.6
212	Z	1944	19	155.3	59.5
213	Z	1944	19	159.6	52.3
214	Z	1944	20	163.8	58.2
215	Z	1944	20	160	59.5
216	Z	1944	20	159.9	57.3
217	Z	1944	19	158	58.7
218	Z	1944	20	168.1	52.7
1	Z	1945	20	173.4	69.9
2	Z	1945	19	154.2	55.8
3	Z	1945	19	163	51.3
6	Z	1945	19	163.3	58.2
7	Z	1945	19	160.9	54.4
8	Z	1945	20	162.4	52.4
9	Z	1945	20	159.5	48.6
10	Z	1945	20	161.5	56.5
11	Z	1945	20	174.1	65.5
12	Z	1945	19	167	53.8
13	Z	1945	19	166	63.2
14	Z	1945	19	162.8	59.2
15	Z	1945	19	168.9	68.6
16	Z	1945	19	170	65.4
17	Z	1945	19	162.9	57.8
18	Z	1945	19	169.7	58.1
19	Z	1945	20	171.3	69.1
20	Z	1945	20	164.6	71.8
21	Z	1945	20	169.1	53.2
22	Z	1945	19	169.2	59.8
23	Z	1945	19	166.6	61.4
24	Z	1945	20	169.7	64.3
25	Z	1945	19	159.6	51.4
26	Z	1945	19	171.9	63.9
27	Z	1945	19	155.4	54.7
28	Z	1945	19	167.4	60.9
29	Z	1945	20	161.3	51.1
30	Z	1945	20	167	63.3
33	Z	1945	20	159	49.8
34	Z	1945	20	170	70.8
35	Z	1945	20	172.2	61.4
36	Z	1945	20	173.1	56.7
37	Z	1945	19	157.9	50.2
38	Z	1945	19	156.4	50.7
39	Z	1945	19	173.1	82.2
40	Z	1945	19	173.2	65.1
41	Z	1945	19	161.8	66.5
42	Z	1945	19	161.6	51.3
43	Z	1945	19	172.7	70
44	Z	1945	19	171.8	58.1
45	Z	1945	20	169	52.6
46	Z	1945	20	152.8	46.7
47	Z	1945	19	166.6	56.5
48	Z	1945	20	168.3	54.8
49	Z	1945	19	167.8	69.7
50	Z	1945	20	156.8	54.2
51	Z	1945	20	164.9	60.7
52	Z	1945	19	164.8	49.4
53	Z	1945	19	161.4	67.4
54	Z	1945	19	159.8	60.2
55	Z	1945	19	168.5	59.3
56	Z	1945	19	168.2	62.1
57	Z	1945	19	169	59.4
58	Z	1945	19	157.6	51.8
59	Z	1945	19	161.2	60.4
60	Z	1945	19	169.6	63.8
61	Z	1945	19	157.3	62
62	Z	1945	20	165.6	58
63	Z	1945	20	165.1	62
64	Z	1945	19	169.8	59.8
65	Z	1945	20	154.8	53.8
66	Z	1945	20	160.6	62.1
67	Z	1945	19	158.5	53.9
68	Z	1945	19	151.3	54.9
70	Z	1945	19	158.2	53.2
71	Z	1945	19	165.3	60.6
72	Z	1945	19	162.8	58.7
73	Z	1945	20	156	51.2
74	Z	1945	19	157.5	53.8
75	Z	1945	18	173.6	57
76	Z	1945	19	161.3	63.1
77	Z	1945	19	166.2	53.9
78	Z	1945	19	171.8	55.4
79	Z	1945	20	163.5	58.3
80	Z	1945	20	159.4	51.6
81	Z	1945	19	163.5	68.7
82	Z	1945	20	162.6	52.2
83	Z	1945	20	159.2	55.6
85	Z	1945	20	170	63.2
86	Z	1945	20	160	49.8
87	Z	1945	20	159.7	47.4
88	Z	1945	19	163.2	61.5
89	Z	1945	19	162.9	61.6
90	Z	1945	18	159.4	61
91	Z	1945	18	160.6	45.5
92	Z	1945	18	167.6	55
93	Z	1945	20	164.5	56.9
94	Z	1945	19	153.4	52.5
95	Z	1945	18	158.9	51
96	Z	1945	19	154.6	50.73
97	Z	1945	19	172.7	61.7
98	Z	1945	19	165.4	52.8
99	Z	1945	20	164.4	60.1
100	Z	1945	19	159	56.7
101	Z	1945	19	158.5	50.7
102	Z	1945	19	162	71.6
103	Z	1945	19	165.7	60.9
104	Z	1945	20	158.6	50.3
105	Z	1945	20	165	52
107	Z	1945	20	163.1	55.1
108	Z	1945	19	167	59.7
109	Z	1945	19	170.5	63
110	Z	1945	18	167.5	54.2
111	Z	1945	20	163.3	64.9
113	Z	1945	20	155	50.7
117	Z	1945	18	160.2	69.9
118	Z	1945	19	152.6	51.7
119	Z	1945	20	160.8	48.4
120	Z	1945	19	162.3	60
121	Z	1945	20	159.6	53.5
122	Z	1945	20	162.7	52.8
126	Z	1945	20	173.5	60
127	Z	1945	18	157	52
128	Z	1945	20	169.2	56.7
129	Z	1945	20	170.7	54.6
1	Z	1946	18	171.8	69.8
2	Z	1946	19	159.4	56.5
3	Z	1946	18	163.6	57.7
5	Z	1946	18	167.8	53.5
6	Z	1946	18	166.7	60.1
7	Z	1946	18	160	55.2
8	Z	1946	18	168.9	56.7
9	Z	1946	18	155.7	50.6
10	Z	1946	18	157.2	47.5
11	Z	1946	19	162.6	54.4
14	Z	1946	18	164.2	62.8
16	Z	1946	18	165.2	61.5
17	Z	1946	18	168.8	62.1
18	Z	1946	18	163.8	56.4
19	Z	1946	18	165.6	58.2
20	Z	1946	18	162.8	72.9
22	Z	1946	18	164.8	65.8
23	Z	1946	19	163.5	60.7
24	Z	1946	18	166.1	55.9
25	Z	1946	20	161.5	61.6
1	M	1941	20	174.6	68.8
2	M	1941	20	167.5	68.5
3	M	1941	19	180.9	78.3
4	M	1941	19	186.2	75.5
5	M	1941	19	175	82.6
6	M	1941	18	169.3	75.3
7	M	1941	19	175.8	70.3
8	M	1941	19	173	73.5
9	M	1941	19	170.4	66.7
10	M	1941	19	177.5	71.4
11	M	1941	19	172.5	68.2
12	M	1941	20	180.5	69.4
13	M	1941	19	175.7	62.6
14	M	1941	19	178.9	72.5
15	M	1941	20	193.5	87
16	M	1941	19	170.7	63.8
17	M	1941	20	179.8	74.9
18	M	1941	20	174.9	73.5
19	M	1941	20	185.4	66.3
20	M	1941	20	187.1	83
21	M	1941	19	174	59
22	M	1941	20	177.5	55.5
23	M	1941	19	170.3	67.7
24	M	1941	19	183.2	80.9
25	M	1941	19	180.6	74.3
26	M	1941	19	176	66
27	M	1941	19	173	76
28	M	1941	19	179.2	75.3
29	M	1941	20	178.1	70.8
30	M	1941	19	159.7	59.4
31	M	1941	19	176.5	61.8
32	M	1941	19	179.2	74
33	M	1941	20	178.8	66
34	M	1941	19	187.5	68.8
35	M	1941	19	168.2	61.5
36	M	1941	19	182.1	73.5
37	M	1941	20	178	69.1
38	M	1941	20	178.6	59.8
39	M	1941	20	171.5	66.6
40	M	1941	19	175.3	57.7
41	M	1941	19	180.9	78.3
42	M	1941	19	186.2	75.5
43	M	1941	19	175	82.6
44	M	1941	18	169.3	75.3
45	M	1941	19	175.8	70.3
46	M	1941	19	173	73.5
47	M	1941	19	170.4	66.7
48	M	1941	19	177.5	71.4
49	M	1941	19	172.5	68.2
50	M	1941	20	180.5	69.4
51	M	1941	19	175.7	62.6
52	M	1941	19	178.9	72.5
53	M	1941	20	193.5	87
54	M	1941	19	170.7	63.8
55	M	1941	18	180.3	65.9
58	M	1941	18	174.7	64.1
59	M	1941	18	176.4	56.7
60	M	1941	19	182.3	66.5
61	M	1941	18	176.5	68.7
62	M	1941	18	177	66
63	M	1941	19	173	65.9
64	M	1941	18	166.9	58.5
65	M	1941	18	168	54.4
66	M	1941	19	180.1	68.6
67	M	1941	18	174.8	67.9
68	M	1941	19	168.3	66.2
69	M	1941	18	176.3	69.2
70	M	1941	19	174.7	63.8
71	M	1941	19	172	62.3
72	M	1941	19	179.5	66.7
73	M	1941	19	174.9	65.4
74	M	1941	18	177.5	62.9
75	M	1941	18	177.5	63.2
76	M	1941	19	177	61.2
77	M	1941	19	183.8	65.8
78	M	1941	18	171.6	70.3
79	M	1941	18	177.7	74.6
80	M	1941	18	180.6	75.5
81	M	1941	18	175.2	76.6
82	M	1941	19	175.5	76.9
83	M	1941	19	170.7	74.4
84	M	1941	19	180.3	75
85	M	1941	19	176.5	73.4
86	M	1941	18	181.5	78.7
87	M	1941	19	179.7	73.6
88	M	1941	19	190.6	77.8
89	M	1941	19	190	77.8
90	M	1941	19	173.7	63.7
91	M	1941	18	187	75.1
92	M	1941	19	190.1	88.1
93	M	1941	18	178.7	84.7
94	M	1941	18	177	68.4
95	M	1941	18	178.6	62.5
96	M	1941	19	181.5	68.2
97	M	1941	19	170	61
98	M	1941	19	170	66.6
99	M	1941	20	180	75
100	M	1941	19	177.1	84.2
101	M	1941	19	174.2	67.1
102	M	1941	19	175.6	68.5
104	M	1941	19	179.8	79.3
105	M	1941	19	172.2	66
106	M	1941	19	177.1	67.4
107	M	1941	19	174.8	74.2
108	M	1941	19	172.6	69
109	M	1941	19	178.5	68.1
110	M	1941	19	172.3	70
113	M	1941	19	173.9	90.9
114	M	1941	19	175.1	63.4
116	M	1941	19	181	70
